"Project","Status","ExitCode","DurationSeconds","Output"
"AgentsWithHandoffOrchestrationSimple\15.08a AgentsWithHandoffOrchestrationSimple.csproj","TimedOut",,"12,6","Using launch settings from C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithHandoffOrchestrationSimple\Properties\launchSettings.json..."
"AgentsWithHandoffOrchestrationWithPersistentBaton\15.02 AgentsWithHandoffOrchestrationWithPersistentBaton.csproj","TimedOut",,"12,5","# USER INPUT: MISSION COMMAND:
""There is a tree directly in front of the car. Avoid it and then come back to the original path. The distance to the tree is 50 meters.""

If safety reports are available, integrate them into the mission command (e.g, advices to slow down or stop)."
"ChatbotService\x.1 ChatbotService (unfinished).csproj","Failed","1","4,5","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatbotService\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatbotService\x.1 ChatbotService (unfinished).csproj]

The build failed. Fix the build errors and run again."
"AIEvaluators\AIEvaluators.csproj","Failed","1","5,4","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AIEvaluators\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AIEvaluators\AIEvaluators.csproj]

The build failed. Fix the build errors and run again."
"AgentsWithMagenticOrchestration\15.09 AgentsWithMagenticOrchestration.csproj","TimedOut",,"12,5",""
"AggregateAgentsFromYaml\AggregateAgentsFromYaml.csproj","Passed","0","11,8","Hello, World!"
"AgentsWithSequentialOrchestrationWithStructuredOutput\13.2 AgentsWithSequentialOrchestrationWithStructuredOutput.csproj","TimedOut",,"12,4",""
"AzureAIAgentFromYaml\12.23 AzureAIAgentFromYaml.csproj","TimedOut",,"12,3","Unhandled exception. System.IO.FileNotFoundException: Could not find file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgent.yaml'.
File name: 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgent.yaml'
   at Microsoft.Win32.SafeHandles.SafeFileHandle.CreateFile(String fullPath, FileMode mode, FileAccess access, FileShare share, FileOptions options)
   at Microsoft.Win32.SafeHandles.SafeFileHandle.Open(String fullPath, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.Strategies.OSFileStreamStrategy..ctor(String path, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.Strategies.FileStreamHelpers.ChooseStrategyCore(String path, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.StreamReader.ValidateArgsAndOpenPath(String path, Int32 bufferSize)
   at System.IO.File.ReadAllText(String path, Encoding encoding)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgentFromYaml\Program.cs:line 31
   at Program.<Main>(String[] args)"
"AgentsWithSequentialOrchestration\13.1 AgentsWithSequentialOrchestration.csproj","TimedOut",,"12,5",""
"AzureAIAgentWithCodeInterpreter\12.15 AzureAIAgentWithCodeInterpreter.csproj","TimedOut",,"12,4",""
"AzureAIAgent\12.14 AzureAIAgent.csproj","TimedOut",,"12,4",""
"AzureAIAgentWithResponseFormat\12.17 AzureAIAgentWithResponseFormat.csproj","TimedOut",,"12,4",""
"AzureAIAgentWithFileSearch\12.16 AzureAIAgentWithFileSearch.csproj","TimedOut",,"12,4","Unhandled exception. System.IO.DirectoryNotFoundException: Could not find a part of the path 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Data'.
   at System.IO.Enumeration.FileSystemEnumerator`1.CreateDirectoryHandle(String path, Boolean ignoreNotFound)
   at System.IO.Enumeration.FileSystemEnumerator`1.Init()
   at System.IO.Enumeration.FileSystemEnumerator`1..ctor(String directory, Boolean isNormalized, EnumerationOptions options, String expression)
   at System.IO.Enumeration.FileSystemEnumerable`1..ctor(String directory, FindTransform transform, EnumerationOptions options, Boolean isNormalized, String expression)
   at System.IO.Enumeration.FileSystemEnumerableFactory.UserFiles(String directory, String expression, EnumerationOptions options)
   at System.IO.Directory.InternalEnumeratePaths(String path, String searchPattern, SearchTarget searchTarget, EnumerationOptions enumerationOptions)
   at System.IO.Directory.GetFiles(String path, String searchPattern, EnumerationOptions enumerationOptions)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgentWithFileSearch\Program.cs:line 13
   at Program.<Main>(String[] args)"
"Chatbot\2.3 Chatbot.csproj","TimedOut",,"12,4","Unhandled exception. Microsoft.Extensions.Options.OptionsValidationException: Missing required AI provider configuration values.
   at Microsoft.Extensions.Options.OptionsFactory`1.Create(String name)
   at Microsoft.Extensions.Options.UnnamedOptionsManager`1.get_Value()
   at Chatbot.Services.KernelFactory.CreateKernel() in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Chatbot\Services\KernelFactory.cs:line 18
   at Chatbot.Services.ConsoleChatbotRunner.RunAsync(CancellationToken cancellationToken) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Chatbot\Services\ConsoleChatbotRunner.cs:line 17
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Chatbot\Program.cs:line 55
   at Program.<Main>(String[] args)"
"ChatbotStreamingWithSemanticFunction\2.6 ChatbotStreamingWithSemanticFunction.csproj","TimedOut",,"12,2","Unhandled exception. System.IO.DirectoryNotFoundException: Directory 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Plugins\CommandsPlugin' could not be found.
   at Microsoft.SemanticKernel.Verify.DirectoryExists(String path)
   at Microsoft.SemanticKernel.KernelExtensions.CreatePluginFromPromptDirectory(String pluginDirectory, String pluginName, IPromptTemplateFactory promptTemplateFactory, IServiceProvider services, JsonSerializerOptions jsonSerializerOptions)
   at Microsoft.SemanticKernel.KernelExtensions.CreatePluginFromPromptDirectory(Kernel kernel, String pluginDirectory, String pluginName, IPromptTemplateFactory promptTemplateFactory)
   at Microsoft.SemanticKernel.KernelExtensions.ImportPluginFromPromptDirectory(Kernel kernel, String pluginDirectory, String pluginName, IPromptTemplateFactory promptTemplateFactory)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatbotStreamingWithSemanticFunction\Program.cs:line 19
   at Program.<Main>(String[] args)"
"ChatbotWithHistory\2.4 ChatbotWithHistory.csproj","TimedOut",,"12,2","User >>>   Refusal: 
  Bot >>> stop
 User >>>"
"ChatCompletionWithVision\2.8 ChatCompletionWithVision (unfinished).csproj","Failed","1","3,2","C:\Program Files\dotnet\sdk\10.0.302\Sdks\Microsoft.NET.Sdk\targets\Microsoft.PackageDependencyResolution.targets(266,5): error NETSDK1004: Assets file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionWithVision\obj\project.assets.json' not found. Run a NuGet package restore to generate this file. [C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionWithVision\2.8 ChatCompletionWithVision (unfinished).csproj]

The build failed. Fix the build errors and run again."
"ChatbotWithSemanticFunction\2.5 ChatbotWithSemanticFunction.csproj","TimedOut",,"12,3","Unhandled exception. System.IO.DirectoryNotFoundException: Directory 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\Plugins\CommandsPlugin' could not be found.
   at Microsoft.SemanticKernel.Verify.DirectoryExists(String path)
   at Microsoft.SemanticKernel.KernelExtensions.CreatePluginFromPromptDirectory(String pluginDirectory, String pluginName, IPromptTemplateFactory promptTemplateFactory, IServiceProvider services, JsonSerializerOptions jsonSerializerOptions)
   at Microsoft.SemanticKernel.KernelExtensions.CreatePluginFromPromptDirectory(Kernel kernel, String pluginDirectory, String pluginName, IPromptTemplateFactory promptTemplateFactory)
   at Microsoft.SemanticKernel.KernelExtensions.ImportPluginFromPromptDirectory(Kernel kernel, String pluginDirectory, String pluginName, IPromptTemplateFactory promptTemplateFactory)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatbotWithSemanticFunction\Program.cs:line 18
   at Program.<Main>(String[] args)"
"ChatCompletion\2.2 ChatCompletion.csproj","TimedOut",,"12,3",""
"ChatCompletionAgentFromYaml\12.19 ChatCompletionAgentFromYaml.csproj","TimedOut",,"12,2","Unhandled exception. System.IO.FileNotFoundException: Could not find file 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionAgent.yaml'.
File name: 'C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionAgent.yaml'
   at Microsoft.Win32.SafeHandles.SafeFileHandle.CreateFile(String fullPath, FileMode mode, FileAccess access, FileShare share, FileOptions options)
   at Microsoft.Win32.SafeHandles.SafeFileHandle.Open(String fullPath, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.Strategies.OSFileStreamStrategy..ctor(String path, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.Strategies.FileStreamHelpers.ChooseStrategyCore(String path, FileMode mode, FileAccess access, FileShare share, FileOptions options, Int64 preallocationSize, Nullable`1 unixCreateMode)
   at System.IO.StreamReader.ValidateArgsAndOpenPath(String path, Int32 bufferSize)
   at System.IO.File.ReadAllText(String path, Encoding encoding)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\ChatCompletionAgentFromYaml\Program.cs:line 22
   at Program.<Main>(String[] args)"
"ChatCompletionAgentSimple\12.02 ChatCompletionAgentSimple.csproj","TimedOut",,"12,1","RESPONSE:"
"ChatCompletionAgent\12.03 ChatCompletionAgent.csproj","TimedOut",,"12,3","RESPONSE: 
dbug: Microsoft.SemanticKernel.Agents.ChatCompletionAgent[0]
      [InvokeAsync] Agent 2a00c12a-efaf-43a7-ade1-6d5b80d6ba13/RobotCarAgent Invoking service Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService.
trce: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      ChatHistory: [{""AuthorName"":""RobotCarAgent"",""Role"":{""Label"":""system""},""Items"":[{""$type"":""TextContent"",""Text"":""You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.\r\nYou have to break down the provided complex commands into basic moves you know.\r\nRespond only with the permitted moves, without any additional explanations.""}]},{""Role"":{""Label"":""user""},""Items"":[{""$type"":""TextContent"",""Text"":""There is a tree directly in front of the car. Avoid it and then come back to the original path.""}]}], Settings: null"
"ChatCompletionAgentWithTextSearchProvider\12.08 ChatCompletionAgentWithTextSearchProvider.csproj","TimedOut",,"12,1",""
"ChatCompletionAgentWithHistoryAndReducer\12.06a ChatCompletionAgentWithHistoryAndReducer.csproj","TimedOut",,"12,2","User > Assistant > 
dbug: Microsoft.SemanticKernel.Agents.ChatCompletionAgent[0]
      [InvokeAsync] Agent c380eeec-308f-4f71-9e56-f9547b8d41d2/RobotCarAgent Invoking service Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService.
info: Microsoft.SemanticKernel.Agents.ChatCompletionAgent[0]
      [InvokeAsync] Agent c380eeec-308f-4f71-9e56-f9547b8d41d2/RobotCarAgent Invoked service Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService."
