"Project","Status","ExitCode","DurationSeconds","Detail"
"AgentsWithHandoffOrchestrationSimple\15.08a AgentsWithHandoffOrchestrationSimple.csproj","Passed","0","10,8","unch settings from C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithHandoffOrchestrationSimple\Properties\launchSettings.json...

# USER INPUT: number 12

[StarterAgent]
  - ToolCall: TempStarterPlugin-save_current_number [currentNumber, 12]
[StarterAgent]
  - ToolCall: HandoffPlugin-transfer_to_EvenNumbersIncrementorAgent 
--------------------------------------------------
[EvenNumbersIncrementorAgent]
  - ToolCall: TempEvenNumbersIncrementorPlugin-load_current_number 
[EvenNumbersIncrementorAgent]
  - ToolCall: TempEvenNumbersIncrementorPlugin-increment_number [currentNumber, 12] [incrementAmount, 3]
[EvenNumbersIncrementorAgent]
  - ToolCall: TempEvenNumbersIncrementorPlugin-save_current_number [currentNumber, 15]
[EvenNumbersIncrementorAgent]
  - ToolCall: HandoffPlugin-transfer_to_MultipleOfFiveDoublerAgent 
--------------------------------------------------
[MultipleOfFiveDoublerAgent]
  - ToolCall: TempMultipleOfFiveDoublerPlugin-load_current_number 
[MultipleOfFiveDoublerAgent]
  - ToolCall: TempMultipleOfFiveDoublerPlugin-multiply_number [currentNumber, 15] [multiplier, 10]
[MultipleOfFiveDoublerAgent]
  - Content: 150 

# RESPONSE: 150"
"AgentsWithHandoffOrchestrationWithHumanInput\15.07 AgentsWithHandoffOrchestrationWithHumanInput.csproj","Failed","-532462766","28","hHumanInput\Program.cs:line 187
   at Microsoft.SemanticKernel.Agents.Orchestration.Handoff.HandoffActor.HandleAsync(Request item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Program.<Main>(String[] args)
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithHandoffOrchestrationWithPersistentBaton\15.02 AgentsWithHandoffOrchestrationWithPersistentBaton.csproj","Passed","0","24,3","sfer_to_MotorsAgent 
--------------------------------------------------
[01:29:58:118] TRANSIENT: Loading fire safety report: no fire safety report
[01:29:58:119] TRANSIENT: Loading rain safety report: Rain safety report: Temperature -1 C, humidity 87%, wind speed 69 kmph. Heavy precipitation conditions are indicated by the detected high droplet level, so wipers have been started. Driving advisory: reduce speed, maintain extra following distance, and be prepared for reduced visibility and slick road conditions.
[01:29:59:419] MOTORS: TurnLeft: 45┬░
[01:30:01:422] MOTORS: Forward: 50m
[01:30:03:434] MOTORS: TurnRight: 45┬░
[01:30:05:441] MOTORS: Forward: 50m
[MotorsAgent]
  - ToolCall: TransientPlugin-load_fire_safety_report 
  - ToolCall: TransientPlugin-load_rain_safety_report 
[MotorsAgent]
  - ToolCall: MotorsPlugin-turn_left [angle, 45]
  - ToolCall: MotorsPlugin-forward [distance, 50]
  - ToolCall: MotorsPlugin-turn_right [angle, 45]
  - ToolCall: MotorsPlugin-forward [distance, 50]
[MotorsAgent]
  - Content: turn left 45┬░, forward 50 meters, turn right 45┬░, forward 50 meters 

# RESPONSE: turn left 45┬░, forward 50 meters, turn right 45┬░, forward 50 meters"
"AgentsWithMagenticOrchestration\15.09 AgentsWithMagenticOrchestration.csproj","Failed","-532462766","6,2"," Object serviceKey, ServiceProviderEngineScope serviceProviderEngineScope)
   at Microsoft.Extensions.DependencyInjection.ServiceProvider.GetRequiredKeyedService(Type serviceType, Object serviceKey)
   at Microsoft.Extensions.DependencyInjection.ServiceProviderKeyedServiceExtensions.GetRequiredKeyedService(IServiceProvider provider, Type serviceType, Object serviceKey)
   at Microsoft.Extensions.DependencyInjection.ServiceProviderKeyedServiceExtensions.GetRequiredKeyedService[T](IServiceProvider provider, Object serviceKey)
   at Microsoft.Extensions.DependencyInjection.ServiceProviderKeyedServiceExtensions.GetKeyedServices[T](IServiceProvider provider, Object serviceKey)
   at System.Linq.Enumerable.SelectManySingleSelectorIterator`2.MoveNext()
   at System.Linq.Enumerable.TryGetLastNonIterator[TSource](IEnumerable`1 source, Boolean& found)
   at System.Linq.Enumerable.LastOrDefault[TSource](IEnumerable`1 source)
   at Microsoft.SemanticKernel.Kernel.GetRequiredService[T](Object serviceKey)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AgentsWithMagenticOrchestration\Program.cs:line 103
   at Program.<Main>(String[] args)"
"AgentsWithSequentialOrchestration\13.1 AgentsWithSequentialOrchestration.csproj","Failed","-532462766","8,2","el.Agents.Orchestration.Sequential.SequentialActor.InvokeAgentAsync(IList`1 input, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Orchestration.Sequential.SequentialActor.HandleAsync(Request item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AgentsWithSequentialOrchestrationWithStructuredOutput\13.2 AgentsWithSequentialOrchestrationWithStructuredOutput.csproj","Failed","-532462766","8,5","el.Agents.Orchestration.Sequential.SequentialActor.InvokeAgentAsync(IList`1 input, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Orchestration.Sequential.SequentialActor.HandleAsync(Request item, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.<>c__DisplayClass4_0.<<-ctor>b__1>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.Core.Internal.HandlerInvoker.InvokeAsync(Object obj, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.Core.BaseAgent.OnMessageAsync(Object message, MessageContext messageContext)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.<>c__DisplayClass35_0.<<PublishMessageServicerAsync>g__ProcessSubscriptionAsync|0>d.MoveNext()
--- End of stack trace from previous location ---
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.InProcessRuntime.PublishMessageServicerAsync(MessageEnvelope envelope, CancellationToken deliveryToken)
   at Microsoft.SemanticKernel.Agents.Runtime.InProcess.MessageEnvelope.<>c__DisplayClass24_0.<<ForPublish>g__BoundServicer|0>d.MoveNext()"
"AggregateAgentsFromYaml\AggregateAgentsFromYaml.csproj","Passed","0","1,1","Hello, World!"
"AspireServiceDefaults\AspireServiceDefaults.csproj","NotRunnable",,"0","OutputType="
"AzureAIAgent\12.14 AzureAIAgent.csproj","Failed","-532462766","9,6","ne, Boolean async)
   at Azure.Core.Pipeline.RedirectPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RetryPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RetryPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.AI.Agents.Persistent.HttpPipelineExtensions.ProcessMessageAsync(HttpPipeline pipeline, HttpMessage message, RequestContext requestContext, CancellationToken cancellationToken)
   at Azure.AI.Agents.Persistent.PersistentAgentsAdministrationClient.CreateAgentAsync(RequestContent content, RequestContext context)
   at Azure.AI.Agents.Persistent.PersistentAgentsAdministrationClient.CreateAgentAsync(String model, String name, String description, String instructions, IEnumerable`1 tools, ToolResources toolResources, Nullable`1 temperature, Nullable`1 topP, BinaryData responseFormat, IReadOnlyDictionary`2 metadata, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgent\Program.cs:line 11
   at Program.<Main>(String[] args)"
"AzureAIAgentFromYaml\12.23 AzureAIAgentFromYaml.csproj","Failed","-532462766","9,1","RequestContent content, RequestContext context)
   at Azure.AI.Agents.Persistent.PersistentAgentsAdministrationClient.CreateAgentAsync(String model, String name, String description, String instructions, IEnumerable`1 tools, ToolResources toolResources, Nullable`1 temperature, Nullable`1 topP, BinaryData responseFormat, IReadOnlyDictionary`2 metadata, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.AzureAI.AzureAIAgentFactory.TryCreateAsync(Kernel kernel, AgentDefinition agentDefinition, AgentCreationOptions agentCreationOptions, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.AgentFactory.CreateAsync(Kernel kernel, AgentDefinition agentDefinition, AgentCreationOptions agentCreationOptions, CancellationToken cancellationToken)
   at Microsoft.SemanticKernel.Agents.YamlAgentFactoryExtensions.CreateAgentFromYamlAsync(AgentFactory kernelAgentFactory, String text, AgentCreationOptions options, IConfiguration configuration, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgentFromYaml\Program.cs:line 32
   at Program.<Main>(String[] args)"
"AzureAIAgentWithCodeInterpreter\12.15 AzureAIAgentWithCodeInterpreter.csproj","Failed","-532462766","8,9","
   at Azure.Core.Pipeline.RedirectPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RetryPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RetryPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.AI.Agents.Persistent.HttpPipelineExtensions.ProcessMessageAsync(HttpPipeline pipeline, HttpMessage message, RequestContext requestContext, CancellationToken cancellationToken)
   at Azure.AI.Agents.Persistent.PersistentAgentsAdministrationClient.CreateAgentAsync(RequestContent content, RequestContext context)
   at Azure.AI.Agents.Persistent.PersistentAgentsAdministrationClient.CreateAgentAsync(String model, String name, String description, String instructions, IEnumerable`1 tools, ToolResources toolResources, Nullable`1 temperature, Nullable`1 topP, BinaryData responseFormat, IReadOnlyDictionary`2 metadata, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgentWithCodeInterpreter\Program.cs:line 13
   at Program.<Main>(String[] args)"
"AzureAIAgentWithFileSearch\12.16 AzureAIAgentWithFileSearch.csproj","Failed","-532462766","9,3","age, TokenRequestContext context)
   at Azure.Core.Pipeline.BearerTokenAuthenticationPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RedirectPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RetryPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RetryPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.AI.Agents.Persistent.HttpPipelineExtensions.ProcessMessageAsync(HttpPipeline pipeline, HttpMessage message, RequestContext requestContext, CancellationToken cancellationToken)
   at Azure.AI.Agents.Persistent.PersistentAgentsFiles.UploadFileAsync(RequestContent content, String contentType, RequestContext context)
   at Azure.AI.Agents.Persistent.PersistentAgentsFiles.UploadFileAsync(Stream data, PersistentAgentFilePurpose purpose, String filename, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgentWithFileSearch\Program.cs:line 19
   at Program.<Main>(String[] args)"
"AzureAIAgentWithResponseFormat\12.17 AzureAIAgentWithResponseFormat.csproj","Failed","-532462766","9,5","
   at Azure.Core.Pipeline.RedirectPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RetryPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.Core.Pipeline.RetryPolicy.ProcessAsync(HttpMessage message, ReadOnlyMemory`1 pipeline, Boolean async)
   at Azure.AI.Agents.Persistent.HttpPipelineExtensions.ProcessMessageAsync(HttpPipeline pipeline, HttpMessage message, RequestContext requestContext, CancellationToken cancellationToken)
   at Azure.AI.Agents.Persistent.PersistentAgentsAdministrationClient.CreateAgentAsync(RequestContent content, RequestContext context)
   at Azure.AI.Agents.Persistent.PersistentAgentsAdministrationClient.CreateAgentAsync(String model, String name, String description, String instructions, IEnumerable`1 tools, ToolResources toolResources, Nullable`1 temperature, Nullable`1 topP, BinaryData responseFormat, IReadOnlyDictionary`2 metadata, CancellationToken cancellationToken)
   at Program.<Main>$(String[] args) in C:\Users\danie\source\repos\Apex.SemanticKernelInAction\AzureAIAgentWithResponseFormat\Program.cs:line 12
   at Program.<Main>(String[] args)"
"Chatbot\2.3 Chatbot.csproj","Passed","0","1,8","Type a command for the car. Use 'exit' to quit.
 User >>> 13:31:20 info: Chatbot.Services.ConsoleChatbotRunner[0] Chatbot session ended."
"ChatbotStreamingWithSemanticFunction\2.6 ChatbotStreamingWithSemanticFunction.csproj","Passed","0","3","User >>>"
"ChatbotWithHistory\2.4 ChatbotWithHistory.csproj","Passed","0","1,5","User >>>"
"ChatbotWithSemanticFunction\2.5 ChatbotWithSemanticFunction.csproj","Passed","0","2,8","User >>>"
"ChatCompletion\2.2 ChatCompletion.csproj","Passed","0","5,3","turn right
forward
turn left
forward
turn left
forward
turn right"
"ChatCompletionAgent\12.03 ChatCompletionAgent.csproj","Passed","0","4,7","Kernel.Connectors.OpenAI.OpenAIChatCompletionService.
trce: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      ChatHistory: [{""AuthorName"":""RobotCarAgent"",""Role"":{""Label"":""system""},""Items"":[{""$type"":""TextContent"",""Text"":""You are an AI assistant controlling a robot car capable of performing basic moves: forward, backward, turn left, turn right, and stop.\r\nYou have to break down the provided complex commands into basic moves you know.\r\nRespond only with the permitted moves, without any additional explanations.""}]},{""Role"":{""Label"":""user""},""Items"":[{""$type"":""TextContent"",""Text"":""There is a tree directly in front of the car. Avoid it and then come back to the original path.""}]}], Settings: null
info: Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService[0]
      Prompt tokens: 91. Completion tokens: 20. Total tokens: 111.
info: Microsoft.SemanticKernel.Agents.ChatCompletionAgent[0]
      [InvokeAsync] Agent c40cbda3-41c0-4989-b489-94991cb050cd/RobotCarAgent Invoked service Microsoft.SemanticKernel.Connectors.OpenAI.OpenAIChatCompletionService with message count: 1.
turn right
forward
turn left
forward
turn left
forward
turn right"
"ChatCompletionAgentFromYaml\12.19 ChatCompletionAgentFromYaml.csproj","Passed","0","5","RESPONSE: 
turn_right
forward
turn_left
forward
turn_left
forward
turn_right"
